feature,importance,rank,selected
wr_tier_RANDOM SINGLES_m7_p,0.001414456,324,0
pokes_sob_sum_m5_g,0.0014140103,325,0
nb_ratio_m3_vs_m12_p,0.0014116566,326,0
fmt_dobles_sum_m15_p,0.0014108664,327,0
nb_diff_m12_vs_m24_p,0.0014107394,328,0
n_batallas_m12_g,0.0014057751,329,0
wr_tier_OU_m9_p,0.0014053175,330,0
cat_torneo_sum_m24_g,0.0014048449,331,0
wr_rep_3_m24_p,0.0013989854,332,0
fmt_vgc_sum_m12_g,0.0013951511,333,0
pokes_sob_sum_m7_g,0.001394445,334,0
cat_torneo_mean_m1_p,0.0013938326,335,0
cat_torneo_sum_m15_p,0.0013925013,336,0
nb_ratio_m3_vs_m5_g,0.00138729,337,0
wr_ratio_m24_vs_m36_p,0.0013855288,338,0
fmt_dobles_mean_m15_g,0.0013846896,339,0
wr_tier_VGC_m36_g,0.0013838854,340,0
wr_tier_BSS_m12_p,0.0013826344,341,0
liga_pes_mean_m7_p,0.0013815889,342,0
fase_rondas_mean_m7_p,0.0013762511,343,0
fmt_dobles_sum_m5_p,0.0013760511,344,0
nb_ratio_m12_vs_m24_p,0.0013752345,345,0
pokes_venc_sum_m12_p,0.0013740632,346,0
wr_ratio_m12_vs_m24_g,0.0013712968,347,0
liga_pjs_mean_m9_g,0.0013693129,348,0
fase_elim_mean_m3_p,0.0013683086,349,0
pokes_sob_mean_m1_p,0.001366497,350,0
cat_ascenso_mean_m3_p,0.0013645091,351,0
n_batallas_m15_p,0.0013597148,352,0
pokes_venc_mean_m5_g,0.0013567888,353,0
fmt_dobles_mean_m36_g,0.0013556349,354,0
wr_tier_NAT DEX DOBLES_m12_p,0.0013491573,355,0
nb_ratio_m3_vs_m12_g,0.0013409175,356,0
wr_tier_NAT DEX_m7_g,0.0013399397,357,0
fase_rondas_mean_m12_p,0.0013331227,358,0
wr_tier_NAT DEX_m36_g,0.0013287358,359,0
wr_tier_OU_m5_p,0.0013231011,360,0
liga_pms_mean_m3_p,0.001322996,361,0
wr_ratio_m5_vs_m12_g,0.0013175836,362,0
fmt_singles_mean_m36_p,0.001314412,363,0
wr_tier_NAT DEX_m24_p,0.001313316,364,0
wr_diff_m1_vs_m3_p,0.0013104578,365,0
pokes_sob_mean_m15_g,0.0013089208,366,0
wr_tier_DOBLES LC_m15_g,0.0013080946,367,0
cat_ascenso_sum_m7_g,0.0013077816,368,0
liga_pls_mean_m12_p,0.0013046559,369,0
wr_rep_1_m3_p,0.0013023174,370,0
wr_ratio_m24_vs_m36_g,0.001293688,371,0
liga_pes_sum_m7_g,0.0012928391,372,0
fmt_vgc_mean_m36_g,0.0012897638,373,0
wr_tier_DOU_m1_p,0.001286064,374,0
nb_diff_m3_vs_m12_p,0.0012854756,375,0
wr_tier_RANDOM SINGLES_m3_g,0.0012837534,376,0
n_batallas_m7_p,0.0012728949,377,0
wr_rep_2_m24_g,0.001259274,378,0
fmt_singles_mean_m18_g,0.0012579091,379,0
ma_ratio_m5_vs_m12_g,0.0012522866,380,0
liga_pss_sum_m7_p,0.0012508003,381,0
fmt_dobles_mean_m9_p,0.001242749,382,0
liga_pls_sum_m3_g,0.0012403129,383,0
fmt_vgc_mean_m3_p,0.0012396907,384,0
fase_rondas_mean_m3_g,0.0012384611,385,0
liga_pes_sum_m9_p,0.0012345581,386,0
pokes_sob_sum_m12_p,0.0012336122,387,0
cat_ascenso_sum_m36_p,0.001230111,388,0
fmt_dobles_mean_m7_p,0.0012173606,389,0
fmt_singles_mean_m1_p,0.0012106323,390,0
pokes_sob_sum_m24_p,0.0012087824,391,0
liga_pms_sum_m18_g,0.0012061263,392,0
wr_tier_UBERS_m7_g,0.0012018057,393,0
wr_rep_2_m7_p,0.0012006104,394,0
wr_tier_DOU_m36_g,0.0011928813,395,0
fase_elim_mean_m5_p,0.001181546,396,0
fmt_singles_mean_m9_p,0.0011718933,397,0
wr_rep_1_m5_p,0.0011689545,398,0
fase_grupos_mean_m7_g,0.0011683154,399,0
nb_ratio_m5_vs_m12_g,0.0011666948,400,0
liga_pss_mean_m15_p,0.0011644596,401,0
wr_rep_3_m3_g,0.001162559,402,0
fmt_singles_mean_m12_p,0.0011594525,403,0
wr_ratio_m5_vs_m12_p,0.0011561584,404,0
cat_cypher_mean_m15_p,0.0011524032,405,0
pokes_venc_sum_m3_g,0.0011519794,406,0
fmt_singles_sum_m36_p,0.001147196,407,0
cat_torneo_mean_m15_p,0.0011459448,408,0
wr_tier_RANDOM DOUBLES_m7_p,0.0011420336,409,0
