player1;player2;winner;league;date;status;round;Formato_esp;replay;Tier;N_Torneo;Formato;Ligas_categoria;Fase_completo;pokemons Sob;pokemon vencidos;Walkover;Match_replays;Generaciones;aka_mundial;Aka_evento
O'Fenomenon't;Mr.Shadowdusk;O'Fenomenon't;ASCENSO;2023-12-01;Completed;RONDA SUIZA 1;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 1;6;6;0;-;9;Fuera_mundial;ASCENSO8
Sr.KM;Bodoquemaster;Sr.KM;ASCENSO;2023-12-01;Completed;RONDA SUIZA 1;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 1;6;6;0;-;9;Fuera_mundial;ASCENSO8
Dino agente;Elin beacil;Dino agente;ASCENSO;2023-12-01;Completed;RONDA SUIZA 2;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 2;5;6;0;-;9;Fuera_mundial;ASCENSO8
Edenking;LABIAMG;Edenking;ASCENSO;2023-12-01;Completed;RONDA SUIZA 2;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 2;1;6;0;-;9;Fuera_mundial;ASCENSO8
Kazaheta;Sr.KM;Kazaheta;ASCENSO;2023-12-01;Completed;RONDA SUIZA 2;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 2;1;6;0;-;9;Fuera_mundial;ASCENSO8
Mr.Shadowdusk;Bodoquemaster;Mr.Shadowdusk;ASCENSO;2023-12-01;Completed;RONDA SUIZA 2;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 2;5;6;0;-;9;Fuera_mundial;ASCENSO8
O'Fenomenon't;Arnau;O'Fenomenon't;ASCENSO;2023-12-01;Completed;RONDA SUIZA 2;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 2;4;6;0;-;9;Fuera_mundial;ASCENSO8
Arnau;Sr.KM;Arnau;ASCENSO;2023-12-01;Completed;RONDA SUIZA 3;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 3;6;6;0;-;9;Fuera_mundial;ASCENSO8
Bodoquemaster;LABIAMG;Bodoquemaster;ASCENSO;2023-12-01;Completed;RONDA SUIZA 3;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 3;6;6;0;-;9;Fuera_mundial;ASCENSO8
Dino agente;Mr.Shadowdusk;Dino agente;ASCENSO;2023-12-01;Completed;RONDA SUIZA 3;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 3;3;6;0;-;9;Fuera_mundial;ASCENSO8
Elin beacil;Kazaheta;Elin beacil;ASCENSO;2023-12-01;Completed;RONDA SUIZA 3;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 3;4;6;0;-;9;Fuera_mundial;ASCENSO8
O'Fenomenon't;Edenking;O'Fenomenon't;ASCENSO;2023-12-01;Completed;RONDA SUIZA 3;VGC;Replay;VGC;8;VGC;No Posee Liga;RONDA SUIZA 3;4;6;0;-;9;Fuera_mundial;ASCENSO8
Dino agente;Sr.KM;Dino agente;ASCENSO;2023-12-01;Completed;GANADORES RONDA 1;VGC;Replay;VGC;8;VGC;No Posee Liga;GANADORES RONDA 1;6;6;1;-;9;Fuera_mundial;ASCENSO8
Elin beacil;Kazaheta;Elin beacil;ASCENSO;2023-12-01;Completed;GANADORES RONDA 1;VGC;Replay;VGC;8;VGC;No Posee Liga;GANADORES RONDA 1;4;6;0;-;9;Fuera_mundial;ASCENSO8
